,id,title,episode,title_song_merged,artist_name_artists_merged,year_year_merged
0,270943,the surreal life,,too little too late,steven page+ed robertson+barenaked ladies,2003.0
1,575882,phil collins: live at perkins palace,,i dont care anymore,phil collins,1983.0
2,231528,tv land confidential,music (#2.6),where did our love go,lamont dozier+brian holland+eddie holland+the supremes,2005.0
3,82676,enie backt,verliebt  verlobt  verheiratet (#4.6),l-o-v-e,joss stone,2012.0
4,277164,the tonight show with jay leno,(#19.117),uptight (everythings alright),stevie wonder+sylvia moy+henry cosby+the tonight show band,1992.0
5,330170,50 first dates,,i melt with you,robbie grey+stephen walker+mick conroy+gary mcdowell+richard ian brown+jason mraz,2004.0
6,692658,the year dolly parton was my mom,,light of a clear blue morning,dolly parton+the wailin jennys,2011.0
7,141712,los nuevos y clásicos bloopers,los nuevos y clásicos bloopers - parte 7 (#1.7),stars and stripes forever,john philip sousa,2004.0
8,74909,dora the explorer,world adventure,three little birds,ziggy marley,2000.0
9,455797,goodfellas,,life is but a dream,raul cita+hy weiss+the harptones,1990.0
10,637297,swingers,,you & me & the bottle makes 3 tonight (baby),big bad voodoo daddy+scott morris,1996.0
11,152521,metal evolution,extreme metal (#1.12),retreat to nowhere,napalm death,2011.0
12,193083,reading and leeds festival,arctic monkeys (#1.5),still take you home,arctic monkeys,2009.0
13,22355,banda sonora,(#6.4),youre the one that i want,john farrar+john travolta+olivia newton-john,2007.0
14,41647,canadian idol,top 4 performances (#2.28),straighten up and fly right,nat king cole+irving mills+jacob hoggard,2003.0
15,313809,viva el espectáculo,(#2.14),camino de vuelta,pancho varona+gloria varona+antonio garcía de diego+ana belén,1990.0
16,149376,mary tyler moore,feeb (#2.16),love is all around,sonny curtis,1970.0
17,533557,marguerite,,chasing sheep is best left to shepherds,michael nyman,2015.0
18,601766,sacred planet,,release it (instrumental),simon emmerson+james mcnally+iarla olionaird+afro celt sound system,2004.0
19,301334,top of the pops,(1980-11-20),do you feel my love,eddy grant,1964.0
20,216820,so you think you can dance,the top eight perform (#6.21),machine gun,portishead,2005.0
21,278209,the tonight show with jay leno,(#20.145),i need to know,marc anthony+cory rooney+the tonight show band,1992.0
22,246357,the golden girls,dancing in the dark (#5.6),thank you for being a friend,andrew gold+cynthia fee,1985.0
23,436255,fame,,fame,michael gore+dean pitchford+naturi naughton,2009.0
24,698399,tod den hippies!! es lebe der punk!,,marmor  stein und eisen bricht,drafi deutscher,2015.0
25,339206,achtung  fertig  charlie!,,ti offro da bere,gianni morandi,2003.0
26,270032,the sopranos,mr. & mrs. john sacrimoni request (#6.5),the three bells (les trois cloches),jean villard+the browns,1999.0
27,319537,willkommen Österreich,(#1.68),versteht ihr was von vögeln?,funny van dannen,2007.0
28,58471,dancing with the stars,round 1: part 1 (#8.1),addicted to love,robert palmer,2005.0
29,87960,fastlane,mighty blue (#1.8),california,phantom planet,2002.0
30,644452,the 48th annual grammy awards,,gravity,john mayer,2006.0
31,173019,one tree hill,hundred (#5.12),ride,cary brothers  with jason kanakis,2003.0
32,87116,fame,hold that baby (#6.6),only love will hold fast,charlie deacock+carrie hamilton+nia peeples+loretta chandler+elisa heinsohn,1982.0
33,463643,happy accidents,,anamaria,francesco montefiori+federico montefiori+montefiori cocktail,2000.0
34,636464,sweet 15,,blue danube waltz,johann strauss,1990.0
35,193158,reading and leeds festival,kaiser chiefs (#1.2),i predict a riot,kaiser chiefs,2009.0
36,170384,off the air,hair (#4.1),backwell,beak>,2011.0
37,303247,top of the pops,(2000-04-07),the time is now,moloko,1964.0
38,188399,privileged,pilot (#1.1),merry happy,kate nash,2008.0
39,154605,misfits,(#1.3),growing pains,elly jackson+ben langmaid+jeff patterson+la roux,2009.0
40,107581,heartbeat,fruits of the earth (#1.2),hippy hippy shake,the swinging blue jeans+chan romero,1992.0
41,342271,alanis morissette: jagged little pill - live,,hand in my pocket,alanis morissette  / glen ballard+alanis morissette,1997.0
42,57111,dancing on ice,(#5.12),higher love,steve winwood+will jennings,2006.0
43,694438,this beat goes on: canadian pop music in the 1970s,,heart like a wheel,anna mcgarrigle+kate mcgarrigle,2009.0
44,140151,live from studio five,(#1.114),i know where its at,all saints,2009.0
45,680734,the real cancun,,it takes two,james brown+robert ginyard+rob base+dj ez rock,2003.0
46,141526,los 80,no hay nada como el hogar (#5.5),el tiempo en las bastillas,fernando ubiergo+camila moreno,2008.0
47,180664,pero ¿esto qué es?,(1989-07-07),hello  dolly!,jerry herman+nacho dogan,1989.0
48,129723,klinik am alex,,crack the shutters,snow patrol,2009.0
49,448299,gala fao 2000,,perra enamorada,mogol+lucio battisti+mónica naranjo,2000.0
50,69604,dexter,if i had a hammer (#4.6),dexter main title,rolfe kent,2006.0
51,583678,professor norman cornett,,another brick in the wall (part two),roger waters+pink floyd,2009.0
52,141563,los 80,vista perfecta (#1.5),el tiempo en las bastillas,fernando ubiergo+difuntos correa,2008.0
53,349815,angelina ballerina: mousical medleys,,you are the sunshine of my life,stevie wonder,2013.0
54,596436,robin hood und ich,,sexyback,justin timberlake,2013.0
55,505411,larnacoeur,,the story of the impossible,peter von poehl,2010.0
56,277195,the tonight show with jay leno,(#19.123),dont lose my number,phil collins+the tonight show band,1992.0
57,633285,subrosa,,someday,jascha richter+michael learns to rock,2000.0
58,714810,vivimos siempre juntos,,vivimos siempre juntos,nacho cano+mercedes ferrer,2006.0
59,633079,stuffed,,lies,paul banks+tom gladwin+alan leach+rick witter+shed seven,1997.0
60,731565,zapatista,,people of the sun,rage against the machine,1999.0
61,196717,rock legends,van halen (#4.13),panama,van halen,2013.0
62,201821,saturday night live,dwayne johnson/ray lamontagne (#34.17),you are the best thing,ray lamontagne,1975.0
63,196208,roadies,carpet season (#1.7),lawless avenues,jackson browne,2016.0
64,567151,opry video classics: honky-tonk heroes,,misery loves company,jerry reed+porter wagoner,2007.0
65,641166,telling lies in america,,little bitty pretty one,thurston harris+bobby day,1997.0
66,417653,dog gone love,,murder on the dancefloor,gregg alexander+sophie ellis-bextor,2004.0
67,21909,banda sonora,(#1.6),ball and chain,willie mae thornton+janis joplin,2007.0
68,442710,for their own good,,you aint just whistlin dixie,david bellamy+bellamy brothers,1993.0
