Semester   ,Instructor   ,Course   
Summer 2008,Arayametee,CS302
Summer 2008,Ma,CS367
Summer 2008,Rodriguez,CS412
Fall 2008,JOSEPH,CS240
Fall 2008,SKRENTNY,CS302
Fall 2008,SKRENTNY,CS302
Fall 2008,LEGAULT,CS302
Fall 2008,CROSBY,CS302
Fall 2008,ZELENY,CS302
Fall 2008,AYDINLIOGLU,CS302
Fall 2008,CHAPMAN,CS302
Fall 2008,WAYNER,CS302
Fall 2008,ANDERSON,CS302
Fall 2008,MUTHUKRISHNAN,CS302
Fall 2008,KANDHAN,CS302
Fall 2008,WONG,CS302
Fall 2008,ANDERSON,CS302
Fall 2008,MUTHUKRISHNAN,CS302
Fall 2008,WAYNER,CS302
Fall 2008,MUTHUKRISHNAN,CS302
Fall 2008,BOYD,CS302
Fall 2008,WONG,CS302
Fall 2008,ANDERSON,CS302
Fall 2008,BOYD,CS302
Fall 2008,WONG,CS302
Fall 2008,BOYD,CS302
Fall 2008,KUUSISTO,CS302
Fall 2008,JONES,CS302
Fall 2008,KUUSISTO,CS302
Fall 2008,ARULAJ,CS302
Fall 2008,KANDHAN,CS302
Fall 2008,ARULAJ,CS302
Fall 2008,KUUSISTO,CS302
Fall 2008,SONG,CS302
Fall 2008,KANDHAN,CS302
Fall 2008,WANANT,CS302
Fall 2008,LUO,CS302
Fall 2008,WANANT,CS302
Fall 2008,WANANT,CS302
Fall 2008,JONES,CS302
Fall 2008,WAYNER,CS302
Fall 2008,DEPPELER,CS310
Fall 2008,"ZHANG,YUPU",CS310
Fall 2008,GIBSON,CS310
Fall 2008,FILLMORE,CS310
Fall 2008,SIVAN,CS310
Fall 2008,"ZHANG,WEI",CS310
Fall 2008,DEPPELER,CS310
Fall 2008,DEPPELER,CS310
Fall 2008,DEPPELER,CS310
Fall 2008,DEPPELER,CS310
Fall 2008,DEPPELER,CS310
Fall 2008,HILL,CS354
Fall 2008,HASTI,CS367
Fall 2008,HASTI,CS367
Fall 2008,HASTI,CS368
Fall 2008,RON,CS412
Fall 2008,FERRIS,CS525
Fall 2008,REPS,CS536
Fall 2008,"ARPACI-DUSSEAU,R",CS537
Fall 2008,GUNAWI,CS537
Fall 2008,DYER,CS540
Fall 2008,"ZHU,JERRY",CS540
Fall 2008,GLEICHER,CS559
